Location,population,Max_Deaths,Death_Percentage
Peru,34049588,218729,0.64
Bulgaria,6781955,38174,0.56
Bosnia and Herzegovina,3233530,16253,0.5
Hungary,9967304,48658,0.49
North Macedonia,2093606,9638,0.46
Georgia,3744385,16926,0.45
Montenegro,627082,2796,0.45
Croatia,4030361,17858,0.44
Czechia,10493990,42302,0.4
Moldova,3272993,11950,0.37
Slovakia,5643455,20935,0.37
San Marino,33690,122,0.36
Lithuania,2750058,9535,0.35
Gibraltar,32677,111,0.34
Latvia,1850654,6211,0.34
Romania,19659270,67542,0.34
Chile,19603736,63764,0.33
Greece,10384972,34779,0.33
Slovenia,2119843,7056,0.33
United States,338289856,1107645,0.33
Brazil,215313504,696742,0.32
Italy,59037472,186833,0.32
United Kingdom,67508936,217262,0.32
Armenia,2780472,8717,0.31
Poland,39857144,118715,0.3
Ukraine,39701744,118972,0.3
Argentina,45510324,130394,0.29
Belgium,11655923,33557,0.29
Paraguay,6780745,19820,0.29
Trinidad and Tobago,1531043,4319,0.28
Colombia,51874028,142186,0.27
Russia,144713312,386992,0.27
Aruba,106459,281,0.26
Mexico,127504120,332087,0.26
Serbia,6871547,17683,0.26
Portugal,10270857,26002,0.25
Spain,47558632,118434,0.25
Austria,8939617,21661,0.24
Bermuda,64207,157,0.24
France,67813000,164149,0.24
Tunisia,12356116,29302,0.24
Liechtenstein,39355,89,0.23
Saint Lucia,179872,409,0.23
Suriname,618046,1398,0.23
Estonia,1326064,2904,0.22
Sweden,10549349,23279,0.22
Uruguay,3422796,7601,0.22
Andorra,79843,165,0.21
French Polynesia,306292,649,0.21
Bahamas,409989,833,0.2
Barbados,281646,571,0.2
British Virgin Islands,31332,64,0.2
Ecuador,18001002,35942,0.2
Germany,83369840,165441,0.2
Lebanon,5489744,10786,0.2
Grenada,125459,238,0.19
Luxembourg,647601,1207,0.19
Panama,4408582,8594,0.19
Bolivia,12224114,22345,0.18
Costa Rica,5180836,9142,0.18
Hong Kong,7488863,13313,0.18
Kosovo,1782115,3202,0.18
Monaco,36491,65,0.18
Montserrat,4413,8,0.18
Belize,405285,688,0.17
Ireland,5023108,8462,0.17
South Africa,59893884,102595,0.17
Antigua and Barbuda,93772,146,0.16
Curacao,191173,301,0.16
Finland,5540745,8639,0.16
Guyana,808727,1294,0.16
Iran,88550568,144744,0.16
Namibia,2567024,4083,0.16
Seychelles,107135,172,0.16
Switzerland,8740471,14244,0.16
Bonaire Sint Eustatius and Saba,27052,41,0.15
Malta,533293,824,0.15
Cyprus,896007,1287,0.14
Denmark,5882259,8120,0.14
Isle of Man,84534,116,0.14
Albania,2842318,3596,0.13
Canada,38454328,50507,0.13
Israel,9449000,12170,0.13
Jordan,11285875,14122,0.13
Netherlands,17564020,23079,0.13
Eswatini,1201680,1422,0.12
Jamaica,2827382,3480,0.12
Saint Vincent and the Grenadines,103959,123,0.12
Turkey,85341248,101492,0.12
Botswana,2630300,2876,0.11
Guatemala,17843914,20096,0.11
Honduras,10432858,11102,0.11
Malaysia,33938216,36940,0.11
New Caledonia,289959,314,0.11
Palestine,5250076,5708,0.11
Azerbaijan,10358078,10081,0.1
Bahrain,1472237,1542,0.1
Dominica,72758,74,0.1
Kazakhstan,19397998,19065,0.1
Oman,4576300,4628,0.1
Saint Kitts and Nevis,47681,46,0.1
Fiji,929769,883,0.09
Libya,6812344,6437,0.09
Norway,5434324,5112,0.09
Anguilla,15877,12,0.08
Cuba,11212198,8530,0.08
Mauritius,1299478,1043,0.08
Sri Lanka,21832150,16826,0.08
Turks and Caicos Islands,45726,38,0.08
Australia,26177410,18615,0.07
Belarus,9534956,7118,0.07
Cape Verde,593162,413,0.07
El Salvador,6336393,4230,0.07
Taiwan,23893396,16224,0.07
Iceland,372903,238,0.06
Indonesia,275501344,160802,0.06
Iraq,44496124,25375,0.06
Kuwait,4268886,2570,0.06
Maldives,523798,311,0.06
Mongolia,3398373,2136,0.06
Philippines,115559008,65757,0.06
South Korea,51815808,33390,0.06
Wallis and Futuna,11596,7,0.06
Brunei,449002,225,0.05
Cayman Islands,68722,37,0.05
Faeroe Islands,53117,28,0.05
Japan,123951696,67396,0.05
Kyrgyzstan,6630621,2991,0.05
Micronesia (country),114178,58,0.05
New Zealand,5185289,2468,0.05
Palau,18084,9,0.05
Thailand,71697024,33836,0.05
Dominican Republic,11228821,4384,0.04
Greenland,56494,21,0.04
India,1417173120,530740,0.04
Marshall Islands,41593,17,0.04
Morocco,37457976,16296,0.04
Myanmar,54179312,19490,0.04
Nepal,30547586,12020,0.04
Vietnam,98186856,43186,0.04
Lesotho,2305826,723,0.03
Qatar,2695131,686,0.03
Saint Pierre and Miquelon,5885,2,0.03
Sao Tome and Principe,227393,77,0.03
Saudi Arabia,36408824,9568,0.03
Singapore,5637022,1720,0.03
Zimbabwe,16320539,5652,0.03
Afghanistan,41128772,7876,0.02
Algeria,44903228,6881,0.02
Bangladesh,171186368,29441,0.02
Cambodia,16767851,3056,0.02
Comoros,836783,161,0.02
Djibouti,1120851,189,0.02
Egypt,110990096,24805,0.02
Macao,695180,120,0.02
Mauritania,4736146,997,0.02
Solomon Islands,724272,153,0.02
United Arab Emirates,9441138,2348,0.02
Venezuela,28301700,5845,0.02
Zambia,20017670,4044,0.02
Angola,35588996,1931,0.01
Cameroon,27914542,1965,0.01
China,1425887360,77826,0.01
Congo,5970430,388,0.01
Cook Islands,17032,2,0.01
Equatorial Guinea,1674916,183,0.01
Ethiopia,123379928,7572,0.01
Gabon,2388997,306,0.01
Gambia,2705995,372,0.01
Guinea-Bissau,2105580,176,0.01
Haiti,11585003,860,0.01
Kenya,54027484,5688,0.01
Kiribati,131237,18,0.01
Laos,7529477,758,0.01
Liberia,5302690,294,0.01
Malawi,20405318,2896,0.01
Mozambique,32969520,2233,0.01
Nauru,12691,1,0.01
Pakistan,235824864,30640,0.01
Papua New Guinea,10142625,669,0.01
Rwanda,13776702,1468,0.01
Samoa,222390,29,0.01
Senegal,17316452,1988,0.01
Somalia,17597508,1361,0.01
Sudan,46874200,5001,0.01
Syria,22125242,3164,0.01
Timor,1341298,138,0.01
Tonga,106867,13,0.01
Uganda,47249588,3630,0.01
Yemen,33696612,2159,0.01
Benin,13352864,163,0.0
Bhutan,782457,21,0.0
Burkina Faso,22673764,396,0.0
Burundi,12889583,38,0.0
Central African Republic,5579148,113,0.0
Chad,17723312,194,0.0
Cote d'Ivoire,28160548,833,0.0
Democratic Republic of Congo,99010216,1463,0.0
Eritrea,3684041,103,0.0
Ghana,33475870,1462,0.0
Guinea,13859349,467,0.0
Madagascar,29611718,1419,0.0
Mali,22593598,743,0.0
Nicaragua,6948395,245,0.0
Niger,26207982,315,0.0
Nigeria,218541216,3155,0.0
North Korea,26069416,6,0.0
Sierra Leone,8605723,126,0.0
South Sudan,10913172,138,0.0
Tajikistan,9952789,125,0.0
Tanzania,65497752,846,0.0
Togo,8848700,290,0.0
Uzbekistan,34627648,1637,0.0
Vanuatu,326744,14,0.0
England,56550000,,
Falkland Islands,3801,,
Guam,171783,,
Guernsey,63329,,
Jersey,110796,,
Niue,1952,,
Northern Cyprus,382836,,
Northern Ireland,1896000,,
Northern Mariana Islands,49574,,
Pitcairn,47,,
Puerto Rico,3252412,,
Saint Helena,5401,,
Scotland,5466000,,
Sint Maarten (Dutch part),44192,,
Tokelau,1893,,
Turkmenistan,6430777,,
Tuvalu,11335,,
United States Virgin Islands,99479,,
Vatican,808,,
Wales,3170000,,
Western Sahara,576005,,