Location,population,Max_cases,Case_Percentage
Cyprus,896007,642663,71.7252
San Marino,33690,23403,69.4657
Faeroe Islands,53117,34658,65.2484
Austria,8939617,5772280,64.5697
Gibraltar,32677,20399,62.4262
Slovenia,2119843,1321083,62.3199
Brunei,449002,275220,61.2959
Andorra,79843,47839,59.9163
Saint Pierre and Miquelon,5885,3452,58.6576
France,67813000,39548212,58.3195
South Korea,51815808,30149601,58.1861
Denmark,5882259,3399192,57.7872
Iceland,372903,208605,55.9408
Liechtenstein,39355,21349,54.2472
Portugal,10270857,5563265,54.1655
Greece,10384972,5548487,53.428
Latvia,1850654,975230,52.6965
Falkland Islands,3801,1930,50.7761
Israel,9449000,4784561,50.6356
Switzerland,8740471,4406243,50.412
Netherlands,17564020,8592292,48.9198
Luxembourg,647601,314607,48.5804
Georgia,3744385,1814180,48.4507
Bahrain,1472237,700346,47.5702
Slovakia,5643455,2660490,47.1429
Lithuania,2750058,1295893,47.1224
Seychelles,107135,50355,47.0014
Estonia,1326064,613531,46.2671
Cayman Islands,68722,31472,45.7961
Montenegro,627082,286235,45.6455
Germany,83369840,37739472,45.2675
Isle of Man,84534,38008,44.9618
Monaco,36491,16056,43.9999
Czechia,10493990,4588727,43.7272
Bonaire Sint Eustatius and Saba,27052,11783,43.5569
Australia,26177410,11295446,43.1496
Italy,59037472,25453789,43.1146
New Zealand,5185289,2172529,41.8979
Aruba,106459,44145,41.4667
Cook Islands,17032,6999,41.0932
European Union,450146793,182876969,40.6261
Belgium,11655923,4691499,40.2499
Saint Helena,5401,2166,40.1037
Taiwan,23893396,9455924,39.5755
Singapore,5637022,2215889,39.3096
Hong Kong,7488863,2872823,38.3613
Barbados,281646,106157,37.6916
Marshall Islands,41593,15554,37.3957
Nauru,12691,4621,36.4116
United Kingdom,67508936,24274361,35.9573
Serbia,6871547,2470606,35.9541
Maldives,523798,185713,35.4551
High income,1250514600,426693281,34.1214
Ireland,5023108,1700253,33.8486
Palau,18084,5986,33.1011
Europe,744807803,246450665,33.0892
Montserrat,4413,1403,31.7924
Croatia,4030361,1267467,31.448
Oceania,45038860,13877775,30.8129
United States,338289856,102280952,30.2347
Uruguay,3422796,1031581,30.1385
Mongolia,3398373,1007865,29.6573
Wallis and Futuna,11596,3427,29.5533
Bermuda,64207,18766,29.2273
Spain,47558632,13731478,28.8727
New Caledonia,289959,79956,27.5749
Norway,5434324,1477715,27.1923
Finland,5540745,1458619,26.3253
Japan,123951696,32441774,26.1729
Chile,19603736,5115130,26.0926
Sweden,10549349,2693458,25.532
French Polynesia,306292,77957,25.4519
Tuvalu,11335,2828,24.9493
Anguilla,15877,3904,24.589
Curacao,191173,45986,24.0547
Panama,4408582,1029061,23.3422
British Virgin Islands,31332,7305,23.3148
Costa Rica,5180836,1182371,22.822
Mauritius,1299478,294602,22.6708
Lebanon,5489744,1228262,22.3738
Argentina,45510324,10032709,22.0449
Hungary,9967304,2191827,21.9902
Malta,533293,116953,21.9303
Dominica,72758,15760,21.6608
Greenland,56494,11971,21.1899
North America,600323657,120965958,20.1501
Turkey,85341248,17042722,19.9701
Micronesia (country),114178,22676,19.8602
Bulgaria,6781955,1295255,19.0985
Moldova,3272993,598073,18.273
Qatar,2695131,492234,18.2638
Belize,405285,70610,17.4223
Brazil,215313504,36791267,17.0873
Romania,19659270,3322648,16.9012
Saint Lucia,179872,29803,16.569
North Macedonia,2093606,346428,16.547
Armenia,2780472,446008,16.0407
Poland,39857144,6378299,16.0029
Grenada,125459,19680,15.6864
Tonga,106867,16734,15.6587
Kuwait,4268886,662858,15.5277
Jordan,11285875,1746997,15.4795
South America,436816679,67557296,15.4658
Kosovo,1782115,272534,15.2927
Russia,144713312,21622390,14.9415
Malaysia,33938216,5035871,14.8383
Ukraine,39701744,5679221,14.3047
Turks and Caicos Islands,45726,6522,14.2632
Saint Kitts and Nevis,47681,6591,13.8231
Palestine,5250076,703228,13.3946
Suriname,618046,82020,13.2709
Peru,34049588,4480828,13.1597
Botswana,2630300,328887,12.5038
Bosnia and Herzegovina,3233530,401354,12.4123
Trinidad and Tobago,1531043,187585,12.2521
Colombia,51874028,6352923,12.2468
Paraguay,6780745,806256,11.8904
Canada,38454328,4561494,11.8621
Albania,2842318,334153,11.7564
Vietnam,98186856,11526395,11.7392
United Arab Emirates,9441138,1049209,11.1132
Cape Verde,593162,63227,10.6593
Belarus,9534956,994037,10.4252
Cuba,11212198,1112414,9.9215
Bolivia,12224114,1187092,9.7111
Antigua and Barbuda,93772,9106,9.7108
Tunisia,12356116,1150278,9.3094
Saint Vincent and the Grenadines,103959,9581,9.2161
Bahamas,409989,37491,9.1444
Guyana,808727,72922,9.0169
Oman,4576300,399154,8.7222
Iran,88550568,7564046,8.5421
World,7975105024,670123500,8.4027
Bhutan,782457,62598,8.0002
Azerbaijan,10358078,827880,7.9926
Kazakhstan,19397998,1496390,7.7141
Libya,6812344,507159,7.4447
Fiji,929769,68820,7.4018
Samoa,222390,16022,7.2045
Guatemala,17843914,1226951,6.876
South Africa,59893884,4055284,6.7708
Namibia,2567024,170496,6.6418
Thailand,71697024,4726512,6.5923
Eswatini,1201680,74114,6.1675
Dominican Republic,11228821,660095,5.8786
Ecuador,18001002,1051239,5.8399
Mexico,127504120,7358593,5.7713
Upper middle income,2525921300,144026108,5.7019
Iraq,44496124,2465545,5.541
Jamaica,2827382,153407,5.4258
Honduras,10432858,470337,4.5082
Asia,4721383370,208774546,4.4219
Kiribati,131237,4991,3.803
Vanuatu,326744,12014,3.6769
Vatican,808,29,3.5891
Philippines,115559008,4072844,3.5245
Morocco,37457976,1272222,3.3964
Solomon Islands,724272,24575,3.3931
Nepal,30547586,1001092,3.2772
El Salvador,6336393,201785,3.1845
India,1417173120,44683856,3.153
Kyrgyzstan,6630621,206591,3.1157
Sri Lanka,21832150,671987,3.078
Laos,7529477,217962,2.8948
Lower middle income,3432097300,97089315,2.8289
Sao Tome and Principe,227393,6279,2.7613
Indonesia,275501344,6729408,2.4426
Saudi Arabia,36408824,827828,2.2737
Gabon,2388997,48980,2.0502
Venezuela,28301700,551399,1.9483
Timor,1341298,23414,1.7456
Zambia,20017670,340172,1.6994
Zimbabwe,16320539,261606,1.6029
Lesotho,2305826,34790,1.5088
Djibouti,1120851,15690,1.3998
Mauritania,4736146,63664,1.3442
Bangladesh,171186368,2037506,1.1902
Myanmar,54179312,633818,1.1699
Comoros,836783,8992,1.0746
Equatorial Guinea,1674916,17186,1.0261
Rwanda,13776702,133090,0.9661
Africa,1426736614,12496539,0.8759
Cambodia,16767851,138685,0.8271
Uzbekistan,34627648,250508,0.7234
Mozambique,32969520,231994,0.7037
Pakistan,235824864,1576235,0.6684
Kenya,54027484,342810,0.6345
Algeria,44903228,271369,0.6043
Senegal,17316452,88900,0.5134
Ghana,33475870,171112,0.5112
Macao,695180,3547,0.5102
Afghanistan,41128772,208435,0.5068
Gambia,2705995,12586,0.4651
Egypt,110990096,515645,0.4646
Papua New Guinea,10142625,46663,0.4601
Togo,8848700,39353,0.4447
Cameroon,27914542,123993,0.4442
Malawi,20405318,88505,0.4337
Congo,5970430,25375,0.425
Guinea-Bissau,2105580,8947,0.4249
Burundi,12889583,52429,0.4068
Ethiopia,123379928,499466,0.4048
Uganda,47249588,170328,0.3605
Cote d'Ivoire,28160548,87974,0.3124
Low income,737604900,2278982,0.309
Angola,35588996,105184,0.2956
Haiti,11585003,34008,0.2936
Eritrea,3684041,10189,0.2766
Guinea,13859349,38240,0.2759
Central African Republic,5579148,15361,0.2753
Syria,22125242,57453,0.2597
Madagascar,29611718,67817,0.229
Nicaragua,6948395,15569,0.2241
Benin,13352864,27989,0.2096
Tajikistan,9952789,17786,0.1787
South Sudan,10913172,18368,0.1683
Somalia,17597508,27318,0.1552
Liberia,5302690,8053,0.1519
Mali,22593598,32778,0.1451
China,1425887360,2023904,0.1419
Sudan,46874200,63736,0.136
Nigeria,218541216,266463,0.1219
Burkina Faso,22673764,22025,0.0971
Democratic Republic of Congo,99010216,95473,0.0964
Sierra Leone,8605723,7760,0.0902
Tanzania,65497752,42600,0.065
Chad,17723312,7652,0.0432
Niger,26207982,9508,0.0363
Yemen,33696612,11945,0.0354
North Korea,26069416,1,0.0
England,56550000,,
Guam,171783,,
Guernsey,63329,,
International,,721,
Jersey,110796,,
Niue,1952,,
Northern Cyprus,382836,,
Northern Ireland,1896000,,
Northern Mariana Islands,49574,,
Pitcairn,47,,
Puerto Rico,3252412,,
Scotland,5466000,,
Sint Maarten (Dutch part),44192,,
Tokelau,1893,,
Turkmenistan,6430777,,
United States Virgin Islands,99479,,
Wales,3170000,,
Western Sahara,576005,,